,episode_length,ep_reward,episodes,total_step,average_return
0,20,0.0,0,20,0.0
1,20,0.0,100,2020,-0.58
2,20,-1.0,200,4020,-0.6
3,20,2.0,300,6020,-0.45
4,20,0.0,400,8020,-0.7
5,20,0.0,500,10020,0.32
6,20,2.0,600,12020,0.28
7,20,1.0,700,14020,0.57
8,20,1.0,800,16020,0.54
9,20,2.0,900,18020,0.54
10,20,0.0,1000,20020,0.61
11,20,0.0,1100,22020,0.66
12,20,1.0,1200,24020,0.89
13,20,1.0,1300,26020,0.72
14,20,0.0,1400,28020,0.77
15,20,1.0,1500,30020,0.93
16,20,2.0,1600,32020,1.02
17,20,1.0,1700,34020,0.85
18,20,0.0,1800,36020,0.91
19,20,0.0,1900,38020,0.96
20,20,1.0,2000,40020,1.05
21,20,1.0,2100,42020,0.93
22,20,2.0,2200,44020,0.97
23,20,1.0,2300,46020,0.99
24,20,1.0,2400,48020,1.12
25,20,2.0,2500,50020,0.91
26,20,2.0,2600,52020,0.98
27,20,1.0,2700,54020,0.99
28,20,-1.0,2800,56020,0.97
29,20,1.0,2900,58020,0.91
30,20,2.0,3000,60020,1.09
31,20,1.0,3100,62020,0.97
32,20,0.0,3200,64020,1.1
33,20,1.0,3300,66020,1.11
34,20,1.0,3400,68020,1.02
35,20,1.0,3500,70020,1.0
36,20,1.0,3600,72020,1.11
37,20,1.0,3700,74020,1.03
38,20,1.0,3800,76020,1.26
39,20,1.0,3900,78020,1.24
40,20,1.0,4000,80020,1.09
41,20,2.0,4100,82020,1.12
42,20,2.0,4200,84020,1.23
43,20,1.0,4300,86020,1.22
44,20,1.0,4400,88020,1.25
45,20,1.0,4500,90020,1.41
46,20,1.0,4600,92020,1.28
47,20,1.0,4700,94020,1.23
48,20,1.0,4800,96020,1.28
49,20,2.0,4900,98020,1.31
50,20,2.0,5000,100020,1.34
